NAME	GS_SIZE	ES	NES	NOM_pval	FDR_qval	FWER_pval	RANK_AT_MAX	LEADING_EDGE
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	16	-0.460494778227221	-1.30467409049229	0.157043879907621	0.277518680405965	0.277518680405965	NA	TGFBR1,TGFBR2,ARHGEF18,UBC,FKBP1A,UBB,RHOA,TGFB1,SMURF1,UBA52
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	23	-0.413000049222216	-1.3049589635916	0.146788990825688	0.266242203742204	0.266242203742204	NA	POLR2A,SUPT5H,GTF2F2,GTF2F1,POLR2C,NELFA,POLR2J,NELFCD,NCBP2,POLR2B,POLR2K,POLR2I,SUPT4H1,NELFB
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	16	-0.460968602166584	-1.30601652877036	0.157043879907621	0.277518680405965	0.277518680405965	NA	TRAF6,MYD88,IKBKB,SQSTM1,UBC,RELA,UBB,PRKCI,UBA52,RIPK2
REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER	25	-0.403375722589348	-1.30654696073726	0.143192488262911	0.260453979982871	0.260453979982871	NA	POLK,RFC1,XRCC1,UBC,POLD4,UBB,POLD3,LIG3,LIG1,RPA2,UBA52
HALLMARK_UV_RESPONSE_DN	144	-0.288724033205525	-1.30837908902608	0.0220763254419259	0.0621778568116922	0.0621778568116922	NA	ATRX,ATXN1,LPAR1,PHF3,NIPBL,ADD3,PDLIM5,NEK7,NRP1,ABCC1,KCNMA1,PEX14,AGGF1,PRDM2,SFMBT1,SCAF8,RASA2,NR3C1,MIOS,DYRK1A,ZMIZ1,DAB2,PTPRM,TGFBR2,CDK13,YTHDC1,PTEN,DLG1,RUNX1,ARHGEF9,SPOP,SERPINE1,NOTCH2,NR1D2,PLPP3,WDR37,MRPS31
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	55	-0.348475985616721	-1.31138324092873	0.0962025316455696	0.200936786281113	0.200936786281113	NA	BBC3,STAT3,MAPK8,CARD8,MAPK1,PPP3CC,CYCS,AVEN,AKT2,YWHAB,CASP7,CASP9,DYNLL2,DIABLO,YWHAZ,TP53BP2,NMT1,YWHAG,SEPTIN4,TP53,YWHAE,APAF1,AKT3,UACA,BID,YWHAH,AKT1
REACTOME_SIGNALING_BY_ACTIVIN	17	-0.45481537278818	-1.31188854570091	0.15296803652968	0.27314292535888	0.27314292535888	NA	SMAD2,ACVR1B,SMAD4,MAPK1,DRAP1
HALLMARK_PEROXISOME	104	-0.307180935518912	-1.31294014701858	0.0320858351252808	0.0836436083609419	0.0836436083609419	NA	VPS4B,ATXN1,MSH2,LONP2,CNBP,BCL10,DHRS3,ABCD3,IDE,PEX14,PABPC1,SLC23A2,SEMA3C,CDK7,ALDH1A1,FADS1,SMARCC1,ACSL4,ELOVL5,HSD17B4,STS,IDI1,HMGCL,GNPAT,CLN6,MLYCD,IDH1,PEX6,RDH11,ERCC1,FIS1
REACTOME_FGFR2_ALTERNATIVE_SPLICING	27	-0.400296783087549	-1.31311406602039	0.122352941176471	0.234409702169788	0.234409702169788	NA	POLR2A,ESRP2,HNRNPA1,HNRNPH1,TIA1,GTF2F2,GTF2F1,POLR2C,HNRNPF,POLR2J,NCBP2,TIAL1,HNRNPM,POLR2B
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	56	-0.347427020523277	-1.31761204280997	0.0997506234413965	0.205565987078592	0.205565987078592	NA	TAB3,TRAF6,ITCH,TAB2,UBE2V1,CARD9,IKBKB,NLRC4,MAP3K7,CHUK,SUGT1,CASP4,NLRP1,BIRC2,UBC,MAPK14,IKBKG,CASP9,HSP90AB1,P2RX7,RELA,UBB,CASP1,TAB1,CYLD
REACTOME_PROTEIN_UBIQUITINATION	79	-0.322127320497003	-1.31788027025355	0.0605326876513317	0.145321004097925	0.145321004097925	NA	CTR9,RTF1,UBE2G1,CDC73,BCL10,UBA6,PRKDC,PEX14,USP9X,RNF20,DERL1,HLTF,UBE2W,UBE2Q2,PEX10,USP7,UBA1,PEX12,UBE2E1,UBE2K,LEO1,H2BC4,H2BC12,UBE2D1,UBC
REACTOME_HEDGEHOG_ON_STATE	73	-0.330668363204205	-1.31838759384372	0.0675	0.155489038785835	0.155489038785835	NA	PSMC6,CDC73,PSMB2,ITCH,SPOPL,NUMB,PSMC2,SPOP,PSMB7,SMURF2,PSMD12,PSMD14,PSMD11,ARRB1,CUL3,PSMA1,ADRM1,PSMC4,UBC,PSMD7,PSMD2,PSMD1,CSNK1A1,PSMD8,PSMA2,UBB,PSMC5,ARRB2,SMURF1,GRK2,PSMD3,UBA52,PSMA5,PSMC1,PSMD6,IQCE,ULK3,PSMD13
